No,Title,Authors,Year,Venue,Category,DOI,URL,Symplectic_IDs
58,Predicting Human Judgement in Online Debates with Argumentation,"Beauty Oluokun, Guilherme Paulino-Passos, Antonio Rago, Francesca Toni",2024,"Proceedings of the 24th Workshop on Computational Models of Natural          Argument co-located with 10th International Conference on Computational          Models of Argument (COMMA 2024), Hagen, Germany, September 17th          2024",conference,,https://ceur-ws.org/Vol-3769/paper9.pdf,1404187
59,Preference-Based Abstract Argumentation for Case-Based Reasoning,"Adam Gould, Guilherme Paulino-Passos, Seema Dadhania, Matthew Williams, Francesca Toni",2024,"Proceedings of the 21st International Conference on Principles of          Knowledge Representation and Reasoning, KR 2024, Hanoi, Vietnam.          November 2-8, 2024",conference,10.24963/KR.2024/37,https://doi.org/10.24963/kr.2024/37,1399356
60,Recourse under Model Multiplicity via Argumentative Ensembling,"Junqi Jiang, Francesco Leofante, Antonio Rago, Francesca Toni",2024,"Proceedings of the 23rd International Conference on Autonomous Agents          and Multiagent Systems, AAMAS 2024, Auckland, New Zealand, May 6-10,          2024",conference,10.5555/3635637.3662950,https://dl.acm.org/doi/10.5555/3635637.3662950,1356576
61,Robust Counterfactual Explanations in Machine Learning: A Survey,"Junqi Jiang, Francesco Leofante, Antonio Rago, Francesca Toni",2024,"Proceedings of the Thirty-Third International Joint Conference on          Artificial Intelligence, IJCAI 2024, Jeju, South Korea, August 3-9,          2024",conference,,https://www.ijcai.org/proceedings/2024/894,1363739
62,Targeted Activation Penalties Help CNNs Ignore Spurious Signals,"Dekai Zhang, Matt Williams, Francesca Toni",2024,"Thirty-Eighth AAAI Conference on Artificial Intelligence, AAAI          2024, Thirty-Sixth Conference on Innovative Applications of Artificial          Intelligence, IAAI 2024, Fourteenth Symposium on Educational Advances          in Artificial Intelligence, EAAI 2014, February 20-27, 2024, Vancouver,          Canada",conference,10.1609/AAAI.V38I15.29610,https://doi.org/10.1609/aaai.v38i15.29610,1353941
63,Towards a Framework for Evaluating Explanations in Automated Fact          Verification,"Neema Kotonya, Francesca Toni",2024,"Proceedings of the 2024 Joint International Conference on Computational          Linguistics, Language Resources and Evaluation, LREC/COLING 2024,          20-25 May, 2024, Torino, Italy",conference,,https://aclanthology.org/2024.lrec-main.1422,1375925
64,A Dataset of Contractual Events in Court Decisions,"Guilherme Paulino-Passos, Ken Satoh, Francesca Toni",2023,"Proceedings of the International Conference on Logic Programming 2023          Workshops co-located with the 39th International Conference on Logic          Programming (ICLP 2023), London, United Kingdom, July 9th and 10th,          2023",conference,,https://ceur-ws.org/Vol-3437/paper3LPLR.pdf,1319536
65,A negation detection assessment of GPTs: analysis with the xNot360          dataset,"Ha-Thanh Nguyen, Randy Goebel, Francesca Toni, Kostas Stathis, Ken Satoh",2023,CoRR,preprint,10.48550/ARXIV.2306.16638,https://doi.org/10.48550/arXiv.2306.16638,1351583
66,A Roadmap for Neuro-argumentative Learning,"Maurizio Proietti, Francesca Toni",2023,"Proceedings of the 17th International Workshop on Neural-Symbolic          Learning and Reasoning, La Certosa di Pontignano, Siena, Italy, July          3-5, 2023",conference,,https://ceur-ws.org/Vol-3432/paper1.pdf,1315862
67,ABA Learning via ASP,"Emanuele De Angelis, Maurizio Proietti, Francesca Toni",2023,"Proceedings 39th International Conference on Logic Programming, ICLP          2023, Imperial College London, UK, 9th July 2023 - 15th July 2023",conference,10.4204/EPTCS.385.1,https://doi.org/10.4204/EPTCS.385.1,1316511
